data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,primal_tolerance_last,dual_tolerance_last,returned_iter,returned_from,returned_objective,returned_neg_loglik,returned_primal_residual,returned_dual_residual,returned_primal_tolerance,returned_dual_tolerance,stopping_reason,n_admm_iter,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,converged,bic_eligible,bic,rho,max_admm_iter,clip_eta
off_grid_seed_43,0.0155184557391536,15.5184557391536,1000,1000,3,1563.3015225041834,1533.4323041002797,0.0002435062083661066,0.0,0.001024013193102961,0.09371304379551772,98,converged_iterate,1563.3015225041834,1533.4323041002797,0.0002435062083661066,0.0,0.001024013193102961,0.09371304379551772,residual_converged,99,0.7057529341717846,0.7000190059286235,0.7057529341717846,32,43,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_43/lambda_0.0155184557391536/result.json,True,True,3363.8980851967913,1.0,1000,20
oracle_seed_47,0.0215766927997459,21.5766927997459,1000,1000,3,1563.8836559827334,1524.3963067815107,2.7755575615628914e-17,0.0,0.0010607142324231278,0.11044424169341321,48,converged_iterate,1563.8836559827334,1524.3963067815107,2.7755575615628914e-17,0.0,0.0010607142324231278,0.11044424169341321,residual_converged,49,0.6887455572963976,0.7022798937762856,0.6887455572963976,15,26,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_47/lambda_0.0215766927997459/result.json,True,True,3228.394250816557,1.0,1000,20
fine_grid_seed_61,0.0155184557391536,15.5184557391536,1000,1000,3,1566.0387770955604,1501.9728203701873,3.8983061664562125e-17,1.267079206011133e-13,0.0016626153664532984,0.11878503786278542,81,converged_iterate,1566.0387770955604,1501.9728203701873,3.8983061664562125e-17,1.267079206011133e-13,0.0016626153664532984,0.11878503786278542,residual_converged,82,0.6956899270527424,0.7251449934900882,0.6956899270527424,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_61/lambda_0.0155184557391536/result.json,True,True,3307.8868730155887,1.0,1000,20
oracle_seed_57,0.0430511620249934,43.0511620249934,1000,1000,3,1570.5730339945105,1537.9263552931209,0.0002876934325099032,3.2155493553843715e-13,0.000815457934733206,0.11516504853421884,123,converged_iterate,1570.5730339945105,1537.9263552931209,0.0002876934325099032,3.2155493553843715e-13,0.000815457934733206,0.11516504853421884,residual_converged,124,0.7135202343433179,0.7026655489676581,0.7135202343433179,5,16,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_57/lambda_0.0430511620249934/result.json,True,True,3186.376795049956,1.0,1000,20
small_seed_54,0.011161231740339,11.161231740339002,1000,1000,3,1572.2416471061294,1560.5077885378025,0.0008741677861139143,0.0,0.0009851427332632063,0.07972356877247755,184,converged_iterate,1572.2416471061294,1560.5077885378025,0.0008741677861139143,0.0,0.0009851427332632063,0.07972356877247755,residual_converged,185,0.6850368621149968,0.7036774009224114,0.6850368621149968,26,37,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/small_seed_54/lambda_0.011161231740339/result.json,True,True,3376.602522397944,1.0,1000,20
fine_grid_seed_48,0.0430511620249934,43.0511620249934,1000,1000,3,1573.9687047646976,1548.1094539750127,0.0005768680140677534,0.0,0.0009306584964288927,0.09062685794055755,177,converged_iterate,1573.9687047646976,1548.1094539750127,0.0005768680140677534,0.0,0.0009306584964288927,0.09062685794055755,residual_converged,178,0.712939881047405,0.7113864441371107,0.712939881047405,4,15,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_48/lambda_0.0430511620249934/result.json,True,True,3199.8352371347573,1.0,1000,20
off_grid_seed_44,0.0381677890961818,38.1677890961818,1000,1000,3,1574.5863069736279,1547.4805155527363,0.008599974322942034,6.340523209216285,0.0008508172497262395,0.08355432272645104,286,best_iterate,1573.8287318232335,1547.1576668718183,0.020463355222478483,6.806338039119523,0.0008401162046414235,0.0842019497040979,max_iter,1000,0.6938546801800423,0.68656548989694,0.6938546801800423,13,24,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_44/lambda_0.0381677890961818/result.json,False,False,,1.0,1000,20
off_grid_seed_59,0.0215766927997459,21.5766927997459,1000,1000,3,1575.2361172899655,1546.9996189667374,0.0005374616216878847,0.0,0.0009020048452594324,0.1527072741026552,118,converged_iterate,1575.2361172899655,1546.9996189667374,0.0005374616216878847,0.0,0.0009020048452594324,0.1527072741026552,residual_converged,119,0.7013865528982237,0.7017948691814541,0.7013865528982237,32,43,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_59/lambda_0.0215766927997459/result.json,True,True,3391.032714929707,1.0,1000,20
oracle_seed_60,0.0139038917031591,13.9038917031591,1000,1000,3,1575.9386358816416,1526.479799572362,0.0017104654607134036,2.0097183471152322e-14,0.0017239445058329695,0.0640918619236777,51,converged_iterate,1575.9386358816416,1526.479799572362,0.0017104654607134036,2.0097183471152322e-14,0.0017239445058329695,0.0640918619236777,residual_converged,52,0.7083546293675536,0.69427771679921,0.7083546293675536,13,24,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_60/lambda_0.0139038917031591/result.json,True,True,3218.7457258402956,1.0,1000,20
fine_grid_seed_59,0.0617800850567412,61.7800850567412,1000,1000,3,1576.200857468923,1548.6869616897666,0.0004072950723000918,0.0194031003448709,0.0008653857767121307,0.11090825843602314,134,converged_iterate,1576.200857468923,1548.6869616897666,0.0004072950723000918,0.0194031003448709,0.0008653857767121307,0.11090825843602314,residual_converged,135,0.7129142397247196,0.7100096063830438,0.7129142397247196,5,16,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_59/lambda_0.0617800850567412/result.json,True,True,3207.8980078432473,1.0,1000,20
off_grid_seed_58,0.0268787537952229,26.8787537952229,1000,1000,3,1577.823913172958,1558.7202443304031,0.009641060483264435,0.11777708752232217,0.0008291126371359377,0.11877896362477997,943,best_iterate,1576.9939261821332,1558.858747763106,0.0003010329889687931,3.2702063760464015,0.0008265751572544653,0.14687404936358556,max_iter,1000,0.6980626302078025,0.6842407413439302,0.6980626302078025,16,27,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_58/lambda_0.0268787537952229/result.json,False,False,,1.0,1000,20
off_grid_seed_50,1e-05,0.01,1000,1000,3,1578.0337724747233,1577.983444491954,3.469446951953614e-17,0.0,0.001681149077112676,0.0006812403840463597,7,converged_iterate,1578.0337724747233,1577.983444491954,3.469446951953614e-17,0.0,0.001681149077112676,0.0006812403840463597,residual_converged,8,0.6932471352161674,0.7002143338300435,0.6932471352161674,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_50/lambda_1e-05/result.json,True,True,3459.9081212591223,1.0,1000,20
off_grid_seed_47,0.0215766927997459,21.5766927997459,1000,1000,3,1580.4704626387224,1553.1863602770024,0.0,0.07160136784265203,0.0009511484373792369,0.1591556630884837,152,converged_iterate,1580.4704626387224,1553.1863602770024,0.0,0.07160136784265203,0.0009511484373792369,0.1591556630884837,residual_converged,153,0.6827164331324065,0.6929242523386395,0.6827164331324065,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_47/lambda_0.0215766927997459/result.json,True,True,3410.313952829219,1.0,1000,20
