data_name,data_path,n_samples,n_features,n_events,c_td_cox,c_index_harrell,admm_best_c_td,admm_median_c_td,admm_mean_c_td,delta_best_admm_minus_cox,delta_median_admm_minus_cox
extended_aft_step_seed_135,data/extended_aft_step/extended_aft_step_seed_135.csv,1000,3,864,0.7049502648394749,0.7049502648394749,0.7121193888602214,0.7109955802299422,0.7110702932690744,0.007169124020746542,0.006045315390467376
extended_aft_step_seed_136,data/extended_aft_step/extended_aft_step_seed_136.csv,1000,3,860,0.6921911498064326,0.6921911498064326,0.7024412355641223,0.6996173573563763,0.6995433134364031,0.010250085757689709,0.00742620754994372
extended_aft_step_seed_137,data/extended_aft_step/extended_aft_step_seed_137.csv,1000,3,851,0.708179443293397,0.708179443293397,0.7187292709092546,0.7182153941905316,0.7178867458382343,0.010549827615857654,0.010035950897134605
extended_aft_step_seed_138,data/extended_aft_step/extended_aft_step_seed_138.csv,1000,3,868,0.7027825994833304,0.7027825994833304,0.7102311158920699,0.7082793438134122,0.708511064473888,0.007448516408739447,0.005496744330081738
extended_aft_step_seed_139,data/extended_aft_step/extended_aft_step_seed_139.csv,1000,3,856,0.695053743218215,0.695053743218215,0.7054119359415182,0.7045717509781716,0.7041122260737723,0.010358192723303183,0.009518007759956593
extended_aft_step_seed_140,data/extended_aft_step/extended_aft_step_seed_140.csv,1000,3,858,0.6868657564136877,0.6868657564136877,0.7020538919341889,0.7007320297224907,0.7000444850237517,0.015188135520501134,0.013866273308802968
extended_aft_step_seed_141,data/extended_aft_step/extended_aft_step_seed_141.csv,1000,3,860,0.6903471623834591,0.6903471623834591,0.7072356465240882,0.7058982076276897,0.7052897239771144,0.016888484140629156,0.015551045244230677
extended_aft_step_seed_42,data/extended_aft_step/extended_aft_step_seed_42.csv,1000,3,843,0.7025206427526133,0.7025206427526133,0.7105478667616277,0.7093779568446914,0.7091263667988423,0.008027224009014455,0.006857314092078126
extended_aft_step_seed_43,data/extended_aft_step/extended_aft_step_seed_43.csv,1000,3,867,0.7015832710065153,0.7015832710065153,0.7143325867701393,0.7116465896191713,0.7115616399448814,0.012749315763624036,0.01006331861265597
extended_aft_step_seed_44,data/extended_aft_step/extended_aft_step_seed_44.csv,1000,3,851,0.7076834885863446,0.7076834885863446,0.7154611526256526,0.71504555225714,0.7144678925279213,0.007777664039308019,0.0073620636707953935
extended_aft_step_seed_45,data/extended_aft_step/extended_aft_step_seed_45.csv,1000,3,856,0.7044462161167668,0.7044462161167668,0.7103704157978659,0.7098695776605748,0.7095805870619145,0.005924199681099029,0.0054233615438079585
extended_aft_step_seed_46,data/extended_aft_step/extended_aft_step_seed_46.csv,1000,3,858,0.6995777073616211,0.6995777073616211,0.7056413965280884,0.7032694480367581,0.7035606324292746,0.006063689166467379,0.0036917406751370008
extended_aft_step_seed_47,data/extended_aft_step/extended_aft_step_seed_47.csv,1000,3,863,0.7096447114747075,0.7096447114747075,0.7222588312098988,0.7201615782440607,0.7202045283355175,0.01261411973519122,0.01051686676935315
extended_aft_step_seed_48,data/extended_aft_step/extended_aft_step_seed_48.csv,1000,3,858,0.7138919931599346,0.7138919931599346,0.7214450761948152,0.7204133458911596,0.7202336667522947,0.00755308303488067,0.006521352731225005
extended_aft_step_seed_49,data/extended_aft_step/extended_aft_step_seed_49.csv,1000,3,880,0.6916436639429004,0.6916436639429004,0.6986612719439891,0.6978081907976919,0.6976368262516374,0.007017608001088638,0.006164526854791408
extended_aft_step_seed_50,data/extended_aft_step/extended_aft_step_seed_50.csv,1000,3,860,0.7099697391687868,0.7099697391687868,0.7215962690559519,0.7205875746821796,0.7199097741904491,0.01162652988716506,0.010617835513392793
extended_aft_step_seed_51,data/extended_aft_step/extended_aft_step_seed_51.csv,1000,3,860,0.7021791421465531,0.7021791421465531,0.7129298762185187,0.7112167013113241,0.7110676408009245,0.010750734071965584,0.009037559164771003
extended_aft_step_seed_52,data/extended_aft_step/extended_aft_step_seed_52.csv,1000,3,871,0.6804126019901308,0.6804126019901308,0.6869941208084296,0.6828595508362784,0.6834882703313827,0.006581518818298826,0.0024469488461476008
extended_aft_step_seed_53,data/extended_aft_step/extended_aft_step_seed_53.csv,1000,3,863,0.6915044894145298,0.6915044894145298,0.7006302113829763,0.6984880231274725,0.698526893911858,0.00912572196844652,0.006983533712942691
extended_aft_step_seed_54,data/extended_aft_step/extended_aft_step_seed_54.csv,1000,3,836,0.706177857961313,0.706177857961313,0.7158547398000852,0.7153630784991781,0.7148223701669321,0.009676881838772133,0.00918522053786508
extended_aft_step_seed_55,data/extended_aft_step/extended_aft_step_seed_55.csv,1000,3,846,0.7115131457536201,0.7115131457536201,0.7241954864400454,0.723283014070529,0.7230763452842931,0.012682340686425264,0.01176986831690885
extended_aft_step_seed_56,data/extended_aft_step/extended_aft_step_seed_56.csv,1000,3,876,0.699173933463319,0.699173933463319,0.7079652494973051,0.7067961915140623,0.7064083959871724,0.008791316033986085,0.007622258050743236
extended_aft_step_seed_57,data/extended_aft_step/extended_aft_step_seed_57.csv,1000,3,874,0.6995221793017593,0.6995221793017593,0.7124959571364932,0.7113263236691096,0.71099668509281,0.012973777834733857,0.011804144367350333
extended_aft_step_seed_58,data/extended_aft_step/extended_aft_step_seed_58.csv,1000,3,880,0.6904484317684193,0.6904484317684193,0.702302077028383,0.699805824453932,0.6995717105770939,0.011853645259963685,0.009357392685512722
extended_aft_step_seed_59,data/extended_aft_step/extended_aft_step_seed_59.csv,1000,3,870,0.7022482320193363,0.7022482320193363,0.7104889665381788,0.7091450365202802,0.7089538426485152,0.008240734518842552,0.006896804500943876
extended_aft_step_seed_60,data/extended_aft_step/extended_aft_step_seed_60.csv,1000,3,857,0.6998301735254627,0.6998301735254627,0.7118569942553283,0.7105408901686616,0.7099659820006955,0.012026820729865606,0.010710716643198892
extended_aft_step_seed_61,data/extended_aft_step/extended_aft_step_seed_61.csv,1000,3,854,0.7173007259346229,0.7173007259346229,0.7250223466772485,0.7226884740236497,0.7227403641762874,0.007721620742625612,0.005387748089026756
extended_aft_step_seed_62,data/extended_aft_step/extended_aft_step_seed_62.csv,1000,3,858,0.6895803538593552,0.6895803538593552,0.6973991746005802,0.6948003922690312,0.6952672870424335,0.007818820741224974,0.005220038409675998
extended_aft_step_seed_63,data/extended_aft_step/extended_aft_step_seed_63.csv,1000,3,832,0.7073257651132658,0.7073257651132658,0.7166552339989,0.7152771340464846,0.7148315364692345,0.009329468885634129,0.007951368933218794
