data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,n_params,result_path,bic,rho,max_admm_iter,clip_eta
extended_aft_step_seed_102,0.0,0.0,1000,3,1040.8854499213198,1040.8854499213198,0.0,0.0003506476017109416,0.8233301803313703,15,outputs/lambda_experiments/extended_aft_step_seed_102/lambda_0.0/result.json,2185.3872290273716,1.0,1000,20
extended_aft_step_seed_127,0.0,0.0,1000,3,1042.0502127708912,1042.0502127708912,0.0,0.0002660863743837961,0.8142138624776079,15,outputs/lambda_experiments/extended_aft_step_seed_127/lambda_0.0/result.json,2187.7167547265144,1.0,1000,20
extended_aft_step_seed_99,0.0,0.0,1000,3,1042.0517964820035,1042.0517964820035,0.0,0.00021955539379553873,0.8221592557060307,15,outputs/lambda_experiments/extended_aft_step_seed_99/lambda_0.0/result.json,2187.719922148739,1.0,1000,20
extended_aft_step_seed_70,0.0,0.0,1000,3,1042.6769025621095,1042.6769025621095,0.0,0.0,0.8260118560086933,15,outputs/lambda_experiments/extended_aft_step_seed_70/lambda_0.0/result.json,2188.970134308951,1.0,1000,20
extended_aft_step_seed_47,0.0,0.0,1000,3,1045.2101715590502,1045.2101715590502,0.0,0.0003196914776497498,0.8297507918071103,15,outputs/lambda_experiments/extended_aft_step_seed_47/lambda_0.0/result.json,2194.0366723028324,1.0,1000,20
extended_aft_step_seed_54,0.0,0.0,1000,3,1045.6748290228584,1045.6748290228584,0.0,7.794649416799944e-05,0.8375023474945089,15,outputs/lambda_experiments/extended_aft_step_seed_54/lambda_0.0/result.json,2194.9659872304487,1.0,1000,20
extended_aft_step_seed_94,0.0,0.0,1000,3,1049.0559473319436,1049.0559473319436,0.0,0.00038539712608859215,0.8179538890296427,15,outputs/lambda_experiments/extended_aft_step_seed_94/lambda_0.0/result.json,2201.728223848619,1.0,1000,20
extended_aft_step_seed_75,0.0,0.0,1000,3,1051.600355665218,1051.600355665218,0.0,0.00013152868063546732,0.8284269412408537,15,outputs/lambda_experiments/extended_aft_step_seed_75/lambda_0.0/result.json,2206.817040515168,1.0,1000,20
extended_aft_step_seed_42,0.0,0.0,1000,3,1060.0932147557878,1060.0932147557878,0.0,0.0003530827190357313,0.8298515696029257,15,outputs/lambda_experiments/extended_aft_step_seed_42/lambda_0.0/result.json,2223.8027586963076,1.0,1000,20
extended_aft_step_seed_50,0.0,0.0,1000,3,1060.6677050422254,1060.6677050422254,0.0,8.479021126518972e-05,0.8313510825616277,15,outputs/lambda_experiments/extended_aft_step_seed_50/lambda_0.0/result.json,2224.951739269183,1.0,1000,20
extended_aft_step_seed_67,0.0,0.0,1000,3,1061.212066261302,1061.212066261302,0.0,0.0003614271680864095,0.8269782822596188,15,outputs/lambda_experiments/extended_aft_step_seed_67/lambda_0.0/result.json,2226.040461707336,1.0,1000,20
extended_aft_step_seed_76,0.0,0.0,1000,3,1063.54607908357,1063.54607908357,0.0,0.00035909115269520367,0.8217781179389212,15,outputs/lambda_experiments/extended_aft_step_seed_76/lambda_0.0/result.json,2230.708487351872,1.0,1000,20
extended_aft_step_seed_60,0.0,0.0,1000,3,1065.0690812421576,1065.0690812421576,0.0,0.00021064670097820318,0.8202107357479291,15,outputs/lambda_experiments/extended_aft_step_seed_60/lambda_0.0/result.json,2233.754491669047,1.0,1000,20
extended_aft_step_seed_79,0.0,0.0,1000,3,1067.215958785224,1067.215958785224,0.0,0.00023062357463559093,0.8320571291652417,15,outputs/lambda_experiments/extended_aft_step_seed_79/lambda_0.0/result.json,2238.04824675518,1.0,1000,20
extended_aft_step_seed_86,0.0,0.0,1000,3,1069.492680425214,1069.492680425214,0.0,0.0003480960622669498,0.8162522605357749,15,outputs/lambda_experiments/extended_aft_step_seed_86/lambda_0.0/result.json,2242.60169003516,1.0,1000,20
extended_aft_step_seed_48,0.0,0.0,1000,3,1070.5407623499996,1070.5407623499996,0.0,0.0,0.8313734317238415,15,outputs/lambda_experiments/extended_aft_step_seed_48/lambda_0.0/result.json,2244.697853884731,1.0,1000,20
extended_aft_step_seed_124,0.0,0.0,1000,3,1071.6065630214741,1071.6065630214741,0.0,0.0,0.8235636460971608,15,outputs/lambda_experiments/extended_aft_step_seed_124/lambda_0.0/result.json,2246.8294552276802,1.0,1000,20
extended_aft_step_seed_101,0.0,0.0,1000,3,1071.8378377958104,1071.8378377958104,0.0,0.0001866124232654561,0.8240562262116732,15,outputs/lambda_experiments/extended_aft_step_seed_101/lambda_0.0/result.json,2247.2920047763528,1.0,1000,20
