data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta
no_change_seed_59,2.0,2000.0,1000,1000,3,10633.85157479569,1679.3767037547925,1.1814439555327836,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_59/lambda_2.0/result.json,3434.7387155783886,1.0,1000,20
fine_grid_seed_45,4.0,4000.0,1000,1000,3,10674.251333199174,1538.5361009316198,0.5574809078509979,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_45/lambda_4.0/result.json,3153.057509932043,1.0,1000,20
oracle_seed_42,16.0,16000.0,1000,1000,3,10679.204365191654,1543.7293568512152,0.173598108474056,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_42/lambda_16.0/result.json,3163.444021771234,1.0,1000,20
oracle_seed_50,16.0,16000.0,1000,1000,3,10791.631161373522,1589.3667942564014,0.18456688676358288,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_50/lambda_16.0/result.json,3254.7188965816063,1.0,1000,20
fine_grid_seed_57,1.0,1000.0,1000,1000,3,10826.322248357954,1653.32660031653,2.2332441472467233,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_57/lambda_1.0/result.json,3382.6385087018634,1.0,1000,20
small_seed_55,4.0,4000.0,1000,1000,3,10866.505067750204,1585.3875042819827,0.612410295261643,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_55/lambda_4.0/result.json,3246.760316632769,1.0,1000,20
oracle_seed_43,16.0,16000.0,1000,1000,3,10915.157064150006,1560.1590490946817,0.17662107257136586,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_43/lambda_16.0/result.json,3196.303406258167,1.0,1000,20
small_seed_50,4.0,4000.0,1000,1000,3,10995.706196365703,1647.5972302492487,0.6297244877448857,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_50/lambda_4.0/result.json,3371.179768567301,1.0,1000,20
no_change_seed_60,4.0,4000.0,1000,1000,3,11062.052214412312,1663.548049007682,0.597841003849819,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_60/lambda_4.0/result.json,3403.0814060841676,1.0,1000,20
no_change_seed_61,4.0,4000.0,1000,1000,3,11143.704873210047,1618.4766625235923,0.6282291912474871,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_61/lambda_4.0/result.json,3312.938633115988,1.0,1000,20
small_seed_52,4.0,4000.0,1000,1000,3,11161.946650262455,1604.979780697422,0.7181006902609195,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_52/lambda_4.0/result.json,3285.9448694636476,1.0,1000,20
small_seed_54,4.0,4000.0,1000,1000,3,11224.306789588049,1582.0921709399433,0.577286068432357,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_54/lambda_4.0/result.json,3240.16964994869,1.0,1000,20
small_seed_57,4.0,4000.0,1000,1000,3,11252.895644123648,1660.7375785768736,0.5545213886448419,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_57/lambda_4.0/result.json,3397.4604652225507,1.0,1000,20
