scenario,lambda_fuse,n,c_td_test_mean,c_td_test_sd,c_td_train_mean,c_td_gap_mean,change_points_mean,change_points_sd,bic_mean,delta_bic_mean,delta_bic_median,primal_residual_median,primal_residual_q25,primal_residual_q75,dual_residual_median,residual_screen_pass_rate,c_td_test_se,change_points_se
off_grid,8.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,16.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,32.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,64.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,128.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,256.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
small,0.0,20,0.6822355142588272,0.007052664524437368,0.6888857687699942,0.006650254511166942,33.0,0.0,3545.9192624212496,210.90713864840228,214.41230091457237,0.0,0.0,0.0,0.0,1.0,0.001577023729914318,0.0
small,0.25,20,0.6837235189389744,0.007457481495285457,0.6882335207082482,0.004510001769273786,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.001667543556440506,0.0
small,0.5,20,0.6834044600254631,0.0071684324465358966,0.6881697023622493,0.004765242336786196,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0016029102242569391,0.0
small,1.0,20,0.564917577598603,0.09083607940773125,0.5645520010236454,-0.0003655765749575435,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.02031156483652559,0.0
small,2.0,20,0.5089841540483679,0.040178358344961536,0.5090751258762374,9.097182786934055e-05,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.008984154048367993,0.0
small,4.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,8.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,16.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,32.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,64.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,128.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
small,256.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3335.0121237728476,0.0,0.0,0.594848181847,0.4805083369114184,0.7313765969965855,0.0,0.0,0.0,0.0
no_change,0.0,20,0.6668449474817112,0.008030823460998543,0.671925281689543,0.005080334207831899,33.0,0.0,3634.5877960030166,195.25880204646677,202.17459207165507,0.0,0.0,0.0,0.0,1.0,0.0017957467174092871,0.0
no_change,0.25,20,0.6677101862860615,0.008514919480876074,0.6717836955189622,0.004073509232900724,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0019039938782176122,0.0
no_change,0.5,20,0.6676718262556898,0.00856410771731368,0.6717852192630777,0.0041133930073879,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.001914992702254394,0.0
no_change,1.0,20,0.550844990388283,0.07988064091696177,0.5519924639968852,0.0011474736086021175,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.017861854317657765,0.0
no_change,2.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,4.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,8.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,16.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,32.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,64.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,128.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
no_change,256.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3455.0330856545743,15.704091698023968,0.0,0.6510837887944527,0.4829974168020254,1.0150783990885925,0.0,0.0,0.0,0.0
