data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta,scenario,seed,c_td_gap,residual_screen_pass,delta_bic
fine_grid_seed_57,0.0,0.0,1000,1000,3,1498.0482175417435,1498.0482175417435,0.0,0.0005137143195476,0.7089811706049821,0.7015070580244874,0.7089811706049821,33,44,outputs/pilot/fine_grid_seed_57/lambda_0.0/result.json,3300.0376673587016,1.0,1000,20,fine_grid,57,-0.007474112580494685,True,0.0
fine_grid_seed_58,0.25,250.0,1000,1000,3,1981.7023352625724,1560.2444003840749,0.3804851071100665,0.0,0.7028162347651166,0.6913676382753623,0.7028162347651166,0,11,outputs/pilot/fine_grid_seed_58/lambda_0.25/result.json,3196.474108836953,1.0,1000,20,fine_grid,58,-0.01144859648975427,False,0.0
fine_grid_seed_59,0.25,250.0,1000,1000,3,2305.559882732532,1558.901385727769,0.7428556991474299,0.0,0.7077999535998127,0.7090530472222052,0.7077999535998127,0,11,outputs/pilot/fine_grid_seed_59/lambda_0.25/result.json,3193.788079524341,1.0,1000,20,fine_grid,59,0.0012530936223924538,False,0.0
fine_grid_seed_60,0.25,250.0,1000,1000,3,1794.4618399833812,1549.5472796496788,0.2238394627103397,0.0,0.7089207135919265,0.6895914345287399,0.7089207135919265,0,11,outputs/pilot/fine_grid_seed_60/lambda_0.25/result.json,3175.079867368161,1.0,1000,20,fine_grid,60,-0.0193292790631866,False,0.0
fine_grid_seed_61,0.25,250.0,1000,1000,3,1701.5767869436158,1505.4183224930982,0.1925380457861726,0.0,0.7016985529328402,0.7229818253058026,0.7016985529328402,0,11,outputs/pilot/fine_grid_seed_61/lambda_0.25/result.json,3086.821953055,1.0,1000,20,fine_grid,61,0.021283272372962347,False,0.0
no_change_seed_42,0.25,250.0,1000,1000,3,3139.4673471234005,1671.1140986482317,1.6131106768730823,0.0,0.664848164559535,0.6881010046002379,0.664848164559535,0,11,outputs/pilot/no_change_seed_42/lambda_0.25/result.json,3418.213505365267,1.0,1000,20,no_change,42,0.023252840040702938,False,0.0
no_change_seed_43,0.25,250.0,1000,1000,3,2173.144972753053,1669.981852020485,0.4474166099577668,0.0,0.6820102726770662,0.6750878560683116,0.6820102726770662,0,11,outputs/pilot/no_change_seed_43/lambda_0.25/result.json,3415.949012109773,1.0,1000,20,no_change,43,-0.006922416608754589,False,0.0
no_change_seed_44,0.25,250.0,1000,1000,3,2699.598511361609,1712.2638892288942,0.9952173508888974,0.0,0.6671228966011544,0.6542056831477141,0.6671228966011544,0,11,outputs/pilot/no_change_seed_44/lambda_0.25/result.json,3500.513086526592,1.0,1000,20,no_change,44,-0.012917213453440324,False,0.0
no_change_seed_45,0.25,250.0,1000,1000,3,1989.9377332903805,1662.7947657639995,0.3256641875426875,0.0,0.6665285142520468,0.6550938340514494,0.6665285142520468,0,11,outputs/pilot/no_change_seed_45/lambda_0.25/result.json,3401.574839596803,1.0,1000,20,no_change,45,-0.011434680200597458,False,0.0
no_change_seed_46,0.25,250.0,1000,1000,3,2165.402579256021,1673.690376133923,0.5255367950365613,0.0,0.6533446516772894,0.6702576434771343,0.6533446516772894,0,11,outputs/pilot/no_change_seed_46/lambda_0.25/result.json,3423.3660603366498,1.0,1000,20,no_change,46,0.016912991799844956,False,0.0
no_change_seed_47,0.0,0.0,1000,1000,3,1706.7431601626845,1706.7431601626845,0.0,0.0,0.6596452305635637,0.6645011074342987,0.6596452305635637,33,44,outputs/pilot/no_change_seed_47/lambda_0.0/result.json,3717.427552600582,1.0,1000,20,no_change,47,0.004855876870734965,True,0.0
no_change_seed_48,0.25,250.0,1000,1000,3,2150.177298290239,1664.2850003869207,0.4840647911864804,0.0,0.6802223451147509,0.6750422468842923,0.6802223451147509,0,11,outputs/pilot/no_change_seed_48/lambda_0.25/result.json,3404.555308842645,1.0,1000,20,no_change,48,-0.0051800982304586185,False,0.0
no_change_seed_49,0.25,250.0,1000,1000,3,4797.691695952539,1790.8220016312398,3.09613729220767,0.0,0.6536988035908508,0.6723098151417382,0.6536988035908508,0,11,outputs/pilot/no_change_seed_49/lambda_0.25/result.json,3657.629311331283,1.0,1000,20,no_change,49,0.018611011550887402,False,0.0
no_change_seed_50,0.25,250.0,1000,1000,3,2639.522044416948,1711.109364356474,1.074661543687678,0.0,0.664897795558723,0.6664529272826148,0.664897795558723,0,11,outputs/pilot/no_change_seed_50/lambda_0.25/result.json,3498.2040367817517,1.0,1000,20,no_change,50,0.0015551317238918783,False,0.0
no_change_seed_51,0.25,250.0,1000,1000,3,2278.1523802269994,1668.8667060938535,0.6540370453472237,0.0,0.6591982205146353,0.6793001256163944,0.6591982205146353,0,11,outputs/pilot/no_change_seed_51/lambda_0.25/result.json,3413.718720256511,1.0,1000,20,no_change,51,0.020101905101759132,False,0.0
no_change_seed_52,0.25,250.0,1000,1000,3,2110.0860779429845,1657.8130850318423,0.4445712007405134,0.0,0.6733082159073434,0.6823339293778389,0.6733082159073434,0,11,outputs/pilot/no_change_seed_52/lambda_0.25/result.json,3391.6114781324886,1.0,1000,20,no_change,52,0.009025713470495522,False,0.0
no_change_seed_53,0.25,250.0,1000,1000,3,2593.453289843096,1675.242986404605,0.9487268199620088,0.0,0.6620483641536273,0.6616139397686842,0.6620483641536273,0,11,outputs/pilot/no_change_seed_53/lambda_0.25/result.json,3426.4712808780137,1.0,1000,20,no_change,53,-0.00043442438494312174,False,0.0
no_change_seed_54,0.25,250.0,1000,1000,3,2328.0941722496327,1636.8714060158566,0.7504909220872956,0.0,0.6697212993351166,0.6829069389083218,0.6697212993351166,0,11,outputs/pilot/no_change_seed_54/lambda_0.25/result.json,3349.7281201005167,1.0,1000,20,no_change,54,0.013185639573205177,False,0.0
no_change_seed_55,0.25,250.0,1000,1000,3,2424.927187375175,1658.9797989662327,0.8296053972874302,0.0,0.6708917037839411,0.684784440658486,0.6708917037839411,0,11,outputs/pilot/no_change_seed_55/lambda_0.25/result.json,3393.944906001269,1.0,1000,20,no_change,55,0.013892736874544842,False,0.0
no_change_seed_56,0.25,250.0,1000,1000,3,2254.749258298828,1644.8771450285003,0.6481305322416818,0.0,0.6559702263615017,0.6721688033105996,0.6559702263615017,0,11,outputs/pilot/no_change_seed_56/lambda_0.25/result.json,3365.7395981258046,1.0,1000,20,no_change,56,0.016198576949097876,False,0.0
no_change_seed_57,0.25,250.0,1000,1000,3,2191.436546239565,1679.303503585398,0.4797952936486604,0.0,0.6780854643612634,0.6676109154072174,0.6780854643612634,0,11,outputs/pilot/no_change_seed_57/lambda_0.25/result.json,3434.592315239599,1.0,1000,20,no_change,57,-0.010474548954045981,False,0.0
no_change_seed_58,0.25,250.0,1000,1000,3,2072.026206565833,1673.298342029051,0.3901109017760088,0.0,0.6727481132841029,0.6545061467238054,0.6727481132841029,0,11,outputs/pilot/no_change_seed_58/lambda_0.25/result.json,3422.5819921269053,1.0,1000,20,no_change,58,-0.01824196656029753,False,0.0
no_change_seed_59,0.25,250.0,1000,1000,3,2798.6860626349044,1679.3767037547923,1.1814439555327836,0.0,0.672515450158913,0.6718281799186899,0.672515450158913,0,11,outputs/pilot/no_change_seed_59/lambda_0.25/result.json,3434.738715578389,1.0,1000,20,no_change,59,-0.0006872702402230813,False,0.0
no_change_seed_60,0.25,250.0,1000,1000,3,2250.9545593454714,1663.548049007682,0.597841003849819,0.0,0.6767874592916596,0.6575805749349426,0.6767874592916596,0,11,outputs/pilot/no_change_seed_60/lambda_0.25/result.json,3403.0814060841676,1.0,1000,20,no_change,60,-0.019206884356717024,False,0.0
no_change_seed_61,0.25,250.0,1000,1000,3,2213.8034256914957,1618.4766625235925,0.6282291912474871,0.0,0.6704337790722438,0.6993515042176606,0.6704337790722438,0,11,outputs/pilot/no_change_seed_61/lambda_0.25/result.json,3312.938633115988,1.0,1000,20,no_change,61,0.028917725145416795,False,0.0
off_grid_seed_42,0.25,250.0,1000,1000,3,2218.4043530029608,1543.3481337033663,0.6655252268681751,0.0,0.6907364099631336,0.7158374117768276,0.6907364099631336,0,11,outputs/pilot/off_grid_seed_42/lambda_0.25/result.json,3162.681575475536,1.0,1000,20,off_grid,42,0.025101001813694013,False,0.0
off_grid_seed_43,0.25,250.0,1000,1000,3,2859.4731870269925,1604.2696405277975,1.17546023124223,0.0,0.7061750144771506,0.6980387107849448,0.7061750144771506,0,11,outputs/pilot/off_grid_seed_43/lambda_0.25/result.json,3284.5245891243985,1.0,1000,20,off_grid,43,-0.008136303692205749,False,0.0
off_grid_seed_44,0.25,250.0,1000,1000,3,3225.119257991451,1583.1509309709866,1.6244303616888698,0.0,0.6925360033477245,0.685947497129291,0.6925360033477245,0,11,outputs/pilot/off_grid_seed_44/lambda_0.25/result.json,3242.2871700107767,1.0,1000,20,off_grid,44,-0.006588506218433432,False,0.0
off_grid_seed_45,0.25,250.0,1000,1000,3,1933.531472434524,1549.3710451340842,0.3751468493503664,0.0,0.6949132480847642,0.6802452832495751,0.6949132480847642,0,11,outputs/pilot/off_grid_seed_45/lambda_0.25/result.json,3174.727398336972,1.0,1000,20,off_grid,45,-0.014667964835189062,False,0.0
off_grid_seed_46,0.25,250.0,1000,1000,3,2342.0589527230904,1568.908626189647,0.7063952407815891,0.0,0.682764339281676,0.7048320290773366,0.682764339281676,0,11,outputs/pilot/off_grid_seed_46/lambda_0.25/result.json,3213.8025604480977,1.0,1000,20,off_grid,46,0.02206768979566054,False,0.0
off_grid_seed_47,0.25,250.0,1000,1000,3,2392.789535563293,1585.8832569280771,0.7996895927164,0.0,0.6811033300217992,0.6905963148464112,0.6811033300217992,0,11,outputs/pilot/off_grid_seed_47/lambda_0.25/result.json,3247.751821924958,1.0,1000,20,off_grid,47,0.009492984824611916,False,0.0
off_grid_seed_48,0.25,250.0,1000,1000,3,2569.695982669186,1600.150989454501,1.0943613978511246,0.0,0.7052469135802469,0.7012446865064251,0.7052469135802469,0,11,outputs/pilot/off_grid_seed_48/lambda_0.25/result.json,3276.287286977806,1.0,1000,20,off_grid,48,-0.004002227073821807,False,0.0
off_grid_seed_49,0.25,250.0,1000,1000,3,2210.1594392354177,1573.6125165566546,0.5946251733008647,0.0,0.6835274082001803,0.7002482846344834,0.6835274082001803,0,11,outputs/pilot/off_grid_seed_49/lambda_0.25/result.json,3223.2103411821126,1.0,1000,20,off_grid,49,0.01672087643430309,False,0.0
off_grid_seed_50,0.25,250.0,1000,1000,3,1913.3714264588464,1601.9159445517978,0.2768545431227734,0.0,0.6900574789902274,0.7003286452060666,0.6900574789902274,0,11,outputs/pilot/off_grid_seed_50/lambda_0.25/result.json,3279.817197172399,1.0,1000,20,off_grid,50,0.010271166215839234,False,0.0
off_grid_seed_51,0.25,250.0,1000,1000,3,2447.259881715395,1583.2985614462775,1.0273301003729258,0.0,0.6845209596088219,0.708187296033719,0.6845209596088219,0,11,outputs/pilot/off_grid_seed_51/lambda_0.25/result.json,3242.582430961359,1.0,1000,20,off_grid,51,0.023666336424897128,False,0.0
off_grid_seed_52,0.25,250.0,1000,1000,3,1905.8317248301123,1539.8960865594474,0.3679309350445939,0.0,0.699036893630795,0.7100620772343917,0.699036893630795,0,11,outputs/pilot/off_grid_seed_52/lambda_0.25/result.json,3155.7774811876984,1.0,1000,20,off_grid,52,0.011025183603596722,False,0.0
off_grid_seed_53,0.25,250.0,1000,1000,3,2727.5197463458303,1601.5315229614685,1.1222221725603962,0.0,0.6911686451084732,0.6981553894973898,0.6911686451084732,0,11,outputs/pilot/off_grid_seed_53/lambda_0.25/result.json,3279.0483539917404,1.0,1000,20,off_grid,53,0.006986744388916555,False,0.0
off_grid_seed_54,0.25,250.0,1000,1000,3,1929.7162182251743,1549.5428982106982,0.3463151507219252,0.0,0.6938729428995708,0.7142857142857143,0.6938729428995708,0,11,outputs/pilot/off_grid_seed_54/lambda_0.25/result.json,3175.0711044902,1.0,1000,20,off_grid,54,0.020412771386143502,False,0.0
off_grid_seed_55,0.25,250.0,1000,1000,3,2635.6417408511024,1558.237702204908,1.069647150235769,0.0,0.6995885778963933,0.7075636295288411,0.6995885778963933,0,11,outputs/pilot/off_grid_seed_55/lambda_0.25/result.json,3192.46071247862,1.0,1000,20,off_grid,55,0.007975051632447827,False,0.0
off_grid_seed_56,0.25,250.0,1000,1000,3,2292.5720731993083,1541.3226091013826,0.7523485118149639,0.0,0.689678784099385,0.6999541335833902,0.689678784099385,0,11,outputs/pilot/off_grid_seed_56/lambda_0.25/result.json,3158.6305262715687,1.0,1000,20,off_grid,56,0.010275349484005214,False,0.0
off_grid_seed_57,0.25,250.0,1000,1000,3,2869.68935220249,1627.3057541981525,1.3496402801603753,0.0,0.7078718484629056,0.6961819625730518,0.7078718484629056,0,11,outputs/pilot/off_grid_seed_57/lambda_0.25/result.json,3330.596816465108,1.0,1000,20,off_grid,57,-0.011689885889853868,False,0.0
off_grid_seed_58,0.25,250.0,1000,1000,3,2086.6223479101,1570.920649224298,0.457978342363181,0.0,0.6953799927430172,0.6829643171232207,0.6953799927430172,0,11,outputs/pilot/off_grid_seed_58/lambda_0.25/result.json,3217.8266065174,1.0,1000,20,off_grid,58,-0.012415675619796507,False,0.0
off_grid_seed_59,0.25,250.0,1000,1000,3,2077.349212727244,1572.0019788957577,0.5347206979068418,0.0,0.7005066250974279,0.6998053265112676,0.7005066250974279,0,11,outputs/pilot/off_grid_seed_59/lambda_0.25/result.json,3219.989265860319,1.0,1000,20,off_grid,59,-0.0007012985861603038,False,0.0
off_grid_seed_60,0.25,250.0,1000,1000,3,2330.889780168653,1568.369435343275,0.697367469005002,0.0,0.7039790509817816,0.6854765389617538,0.7039790509817816,0,11,outputs/pilot/off_grid_seed_60/lambda_0.25/result.json,3212.7241787553535,1.0,1000,20,off_grid,60,-0.01850251202002784,False,0.0
off_grid_seed_61,0.25,250.0,1000,1000,3,2178.2071147990755,1520.5950293906567,0.6604943203667575,0.0,0.6916659339400991,0.7184468197036862,0.6916659339400991,0,11,outputs/pilot/off_grid_seed_61/lambda_0.25/result.json,3117.175366850117,1.0,1000,20,off_grid,61,0.02678088576358706,False,0.0
oracle_seed_42,0.25,250.0,1000,1000,3,1686.4711538565346,1543.7293568512152,0.173598108474056,0.0,0.6973685823441682,0.7218671962156221,0.6973685823441682,0,11,outputs/pilot/oracle_seed_42/lambda_0.25/result.json,3163.444021771234,1.0,1000,20,oracle,42,0.02449861387145391,False,0.0
oracle_seed_43,0.25,250.0,1000,1000,3,1706.3308930799212,1560.1590490946817,0.1766210725713658,0.0,0.7137810411816747,0.7021405889381762,0.7137810411816747,0,11,outputs/pilot/oracle_seed_43/lambda_0.25/result.json,3196.303406258167,1.0,1000,20,oracle,43,-0.011640452243498522,False,0.0
oracle_seed_44,0.25,250.0,1000,1000,3,1861.3814738324736,1551.5492916193612,0.4364240741985128,0.0,0.7017892562828456,0.6945940815164251,0.7017892562828456,0,11,outputs/pilot/oracle_seed_44/lambda_0.25/result.json,3179.083891307526,1.0,1000,20,oracle,44,-0.007195174766420509,False,0.0
oracle_seed_45,0.0,0.0,1000,1000,3,1494.4154040001715,1494.4154040001715,0.0,0.0,0.7048143323273697,0.6914179826302982,0.7048143323273697,15,26,outputs/pilot/oracle_seed_45/lambda_0.0/result.json,3168.432445253879,1.0,1000,20,oracle,45,-0.013396349697071486,True,0.0
oracle_seed_46,0.25,250.0,1000,1000,3,1971.4738657169296,1554.3917322465525,0.58038738780433,0.0,0.6876761209550802,0.7108614889332732,0.6876761209550802,0,11,outputs/pilot/oracle_seed_46/lambda_0.25/result.json,3184.7687725619085,1.0,1000,20,oracle,46,0.023185367978192928,False,0.0
oracle_seed_47,0.25,250.0,1000,1000,3,1766.2972956457877,1579.299237203463,0.2295737949804385,0.0,0.6873881068646756,0.6973949898630595,0.6873881068646756,0,11,outputs/pilot/oracle_seed_47/lambda_0.25/result.json,3234.5837824757295,1.0,1000,20,oracle,47,0.010006882998383926,False,0.0
oracle_seed_48,0.0,0.0,1000,1000,3,1530.2267634787047,1530.2267634787047,0.0,0.0001150558156888,0.7088301630379167,0.7089463317860278,0.7088301630379167,15,26,outputs/pilot/oracle_seed_48/lambda_0.0/result.json,3240.055164210945,1.0,1000,20,oracle,48,0.00011616874811115618,True,0.0
oracle_seed_49,0.25,250.0,1000,1000,3,1960.6144053308308,1572.5954914949832,0.5912705972662202,0.0,0.6912639537605194,0.7049312177088628,0.6912639537605194,0,11,outputs/pilot/oracle_seed_49/lambda_0.25/result.json,3221.17629105877,1.0,1000,20,oracle,49,0.013667263948343389,False,0.0
oracle_seed_50,0.25,250.0,1000,1000,3,1733.1521749926064,1589.3667942564014,0.1845668867635828,0.0,0.6973828633449896,0.7097819398704355,0.6973828633449896,0,11,outputs/pilot/oracle_seed_50/lambda_0.25/result.json,3254.7188965816063,1.0,1000,20,oracle,50,0.012399076525445918,False,0.0
oracle_seed_51,0.0,0.0,1000,1000,3,1483.2900444961797,1483.2900444961797,0.0,0.0,0.6949246889993128,0.7151337986188926,0.6949246889993128,15,26,outputs/pilot/oracle_seed_51/lambda_0.0/result.json,3146.1817262458944,1.0,1000,20,oracle,51,0.02020910961957978,True,0.0
oracle_seed_52,0.25,250.0,1000,1000,3,1737.648579206646,1527.9125095206205,0.2562682439147491,0.0,0.7070746594116508,0.7173533523126138,0.7070746594116508,0,11,outputs/pilot/oracle_seed_52/lambda_0.25/result.json,3131.8103271100445,1.0,1000,20,oracle,52,0.010278692900962949,False,0.0
oracle_seed_53,0.25,250.0,1000,1000,3,1694.6269824996446,1541.400308783337,0.1948678654793848,0.0,0.6956705882352942,0.6999507894197252,0.6956705882352942,0,11,outputs/pilot/oracle_seed_53/lambda_0.25/result.json,3158.785925635478,1.0,1000,20,oracle,53,0.004280201184431065,False,0.0
oracle_seed_54,0.25,250.0,1000,1000,3,1696.9560463241148,1533.8687504349152,0.2051955066575048,0.0,0.6952154961707675,0.7185628251538395,0.6952154961707675,0,11,outputs/pilot/oracle_seed_54/lambda_0.25/result.json,3143.722808938634,1.0,1000,20,oracle,54,0.023347328983072013,False,0.0
oracle_seed_55,0.0,0.0,1000,1000,3,1487.1047460118612,1487.1047460118612,0.0,0.0,0.7059132730814053,0.7139041537469684,0.7059132730814053,15,26,outputs/pilot/oracle_seed_55/lambda_0.0/result.json,3153.811129277258,1.0,1000,20,oracle,55,0.007990880665563083,True,0.0
oracle_seed_56,0.0,0.0,1000,1000,3,1482.842445875964,1482.842445875964,0.0,0.0002996914762471,0.6940289372536539,0.7087541675837389,0.6940289372536539,15,26,outputs/pilot/oracle_seed_56/lambda_0.0/result.json,3145.286529005464,1.0,1000,20,oracle,56,0.014725230330084993,True,0.0
oracle_seed_57,0.0,0.0,1000,1000,3,1524.8679111136798,1524.8679111136798,0.0,0.0003465357030637,0.71149875561722,0.7015906814904557,0.71149875561722,15,26,outputs/pilot/oracle_seed_57/lambda_0.0/result.json,3229.337459480895,1.0,1000,20,oracle,57,-0.00990807412676431,True,0.0
oracle_seed_58,0.25,250.0,1000,1000,3,1668.1679841790256,1557.5660225584954,0.1314374292768527,0.0,0.7026244598680426,0.6909660572283569,0.7026244598680426,0,11,outputs/pilot/oracle_seed_58/lambda_0.25/result.json,3191.1173531857944,1.0,1000,20,oracle,58,-0.01165840263968565,False,0.0
oracle_seed_59,0.25,250.0,1000,1000,3,1779.2973949900256,1574.4490142888728,0.3011388209685727,0.0,0.713503481040596,0.7085268377051555,0.713503481040596,0,11,outputs/pilot/oracle_seed_59/lambda_0.25/result.json,3224.883336646549,1.0,1000,20,oracle,59,-0.004976643335440567,False,0.0
oracle_seed_60,0.25,250.0,1000,1000,3,1794.347256690289,1539.7177927288928,0.3351653790672074,0.0,0.7090917606237515,0.690358540377106,0.7090917606237515,0,11,outputs/pilot/oracle_seed_60/lambda_0.25/result.json,3155.420893526589,1.0,1000,20,oracle,60,-0.018733220246645477,False,0.0
oracle_seed_61,0.25,250.0,1000,1000,3,1652.284620201004,1494.1725998506136,0.223862076196187,0.0,0.7016350671106578,0.7233205856063605,0.7016350671106578,0,11,outputs/pilot/oracle_seed_61/lambda_0.25/result.json,3064.33050777003,1.0,1000,20,oracle,61,0.02168551849570266,False,0.0
small_seed_42,0.25,250.0,1000,1000,3,2050.6373947487114,1615.1918236428735,0.4204001352202045,0.0,0.6808077393763783,0.7044934169934426,0.6808077393763783,0,11,outputs/pilot/small_seed_42/lambda_0.25/result.json,3306.3689553545505,1.0,1000,20,small,42,0.023685677617064305,False,0.0
small_seed_43,0.25,250.0,1000,1000,3,2115.811577563614,1620.610964489905,0.4694248119300602,0.0,0.6969948645262429,0.6871824633210136,0.6969948645262429,0,11,outputs/pilot/small_seed_43/lambda_0.25/result.json,3317.2072370486135,1.0,1000,20,small,43,-0.009812401205229304,False,0.0
